url,pages,total_links
colombo,878,1005
havan,1007,1007
amazon,1025,1025
cissamagazine,1034,1036
taqi,999,1001
ibyte,1001,1001
magazineluiza,995,1003
promobit,972,1004
avenida,1018,1018
kabum,1001,1002
